time,MSRD,error,N
0.0,0.0,0.0,45.99999999999999
1.0,5.38184260869531e-07,4.600795038909199e-08,45.99999999999999
2.0,1.1488420869564835e-06,1.2260646468074076e-07,46.0
3.0,1.4677589130436407e-06,1.75464347087578e-07,46.0
4.0,1.917326043478379e-06,1.8146381271960573e-07,46.0
5.0,2.1296234347824823e-06,2.1561726260878644e-07,46.0
6.0,2.970674086956355e-06,3.0889842657582414e-07,46.0
7.0,3.425537391304459e-06,4.103545265539682e-07,46.0
8.0,3.7117355652174576e-06,4.4771672661533854e-07,46.0
9.0,4.634024326087128e-06,5.741209079767469e-07,46.0
10.0,5.113064173912977e-06,6.478937313519867e-07,46.0
11.0,5.866266956521532e-06,7.635294010358288e-07,46.0
12.0,6.291312586956261e-06,8.136238264093209e-07,46.0
13.0,6.743041499999875e-06,9.313189231483987e-07,46.0
14.0,7.027466652173879e-06,9.722339911018453e-07,46.0
15.0,7.034981565217203e-06,9.406033434994251e-07,46.0
16.0,7.243323586956649e-06,8.982379746647531e-07,46.0
17.0,7.341018086956807e-06,9.19532028492105e-07,46.0
18.0,8.27493695652225e-06,1.0402394759164123e-06,46.0
19.0,8.437410195651943e-06,1.0639416575818194e-06,46.0
20.0,8.69664780434753e-06,1.106942114272016e-06,46.0
21.0,9.086321260869794e-06,1.1573233781071448e-06,46.0
22.0,9.686051326086944e-06,1.231658627968097e-06,46.0
23.0,9.568414891304267e-06,1.2747601126794746e-06,46.0
24.0,9.322466543478236e-06,1.2852295359325272e-06,46.0
25.0,9.609449782608652e-06,1.2645831507388554e-06,46.0
26.0,1.0822496217390748e-05,1.44801534033249e-06,46.0
27.0,1.1517767652173693e-05,1.4163272845066468e-06,46.0
28.0,1.317866971739108e-05,1.710807029928238e-06,46.0
29.0,1.3654886043478388e-05,1.6411312887878438e-06,46.0
30.0,1.3759974913043544e-05,1.6482672466252382e-06,46.0
31.0,1.4784096847825676e-05,1.8450846297478293e-06,46.0
32.0,1.4629682282608906e-05,1.6790314811468726e-06,46.0
33.0,1.5151291326087031e-05,1.6203945464781676e-06,46.0
34.0,1.604615252173904e-05,1.8353793589373433e-06,46.0
35.0,1.6026837304347918e-05,1.7314900311248844e-06,46.0
36.0,1.7637121782607897e-05,1.9372885599477047e-06,46.0
37.0,1.7915915565217998e-05,1.979004018956433e-06,45.99999999999999
38.0,1.7652745000000567e-05,1.8473428723486444e-06,45.99999999999999
39.0,1.813055293478234e-05,1.8503005077658738e-06,46.0
40.0,1.8232627978260258e-05,1.7783344092988474e-06,46.0
41.0,1.8959716956521962e-05,2.0289739390229813e-06,46.0
42.0,1.901228302173885e-05,2.0011410425504276e-06,46.0
43.0,1.94595306086954e-05,2.0405743170666474e-06,46.0
44.0,2.0161472282608846e-05,2.1726196942150352e-06,46.0
45.0,2.1439909195652663e-05,2.327366750272248e-06,46.0
46.0,2.1626049065217014e-05,2.6107812249278985e-06,46.0
47.0,2.286538173912989e-05,2.748728564361551e-06,46.0
48.0,2.2499983847826178e-05,2.9001135851320317e-06,46.0
49.0,2.3912352282608156e-05,3.2114630219027475e-06,46.0
50.0,2.5024928152174207e-05,3.3165108714945504e-06,46.0
51.0,2.666933780434737e-05,3.50937211864066e-06,46.0
52.0,2.701898160869595e-05,3.703412636714321e-06,46.0
53.0,2.6962228586956388e-05,3.4981111864732184e-06,46.0
54.0,2.6507712434782733e-05,3.391515238419577e-06,46.0
55.0,2.658648299999965e-05,3.167396419225672e-06,46.0
56.0,2.6960566521739405e-05,3.210615260303943e-06,46.0
57.0,2.6996573630434565e-05,3.1901973676305117e-06,46.0
58.0,2.81954364782605e-05,3.1550253316796948e-06,46.0
59.0,2.8579422847825583e-05,3.2645059371115806e-06,46.0
