time diff,values,error
0.0,1.0,6.709032372516455e-05
1.0,1.000001683614712,5.801553694655353e-05
2.0,1.0000012755618846,4.702856127613942e-05
3.0,1.0000054329400212,4.720647455323317e-05
4.0,1.0000061384569265,4.7489886302917944e-05
5.0,1.000007381851082,4.826736506514691e-05
6.0,1.0000146465468585,4.924374980387177e-05
7.0,1.000027608619291,4.968641709207651e-05
8.0,1.0000342834412308,4.9572911636304714e-05
9.0,1.0000334777829654,5.021185101025978e-05
10.0,1.0000313666971097,5.147541690631048e-05
11.0,1.0000284754165456,5.227870005664036e-05
12.0,1.0000302759387973,5.248041374116516e-05
13.0,1.0000415857363412,5.262721190029221e-05
14.0,1.000051329326162,5.331553568827002e-05
15.0,1.0000388083938205,5.351046512470425e-05
16.0,1.000028505889166,5.463973104653686e-05
17.0,1.0000309021985012,5.610323811267919e-05
18.0,1.000034187633046,5.655233859241641e-05
19.0,1.0000510603517672,5.662689376328664e-05
20.0,1.0000635426268614,5.6694928332212334e-05
21.0,1.000057021584302,5.758330565912925e-05
22.0,1.0000463741089187,5.9468288236175407e-05
23.0,1.0000337217730986,6.126368271998051e-05
24.0,1.000030534845068,6.208319750999536e-05
25.0,1.0000296222445992,6.200374348258258e-05
26.0,1.0000313824618507,6.209365574463885e-05
27.0,1.00002218499433,6.211385007600332e-05
28.0,1.0000052544933926,6.225612168847534e-05
29.0,0.9999977474330846,6.3418943019631e-05
30.0,0.9999870927705576,6.507305217493766e-05
31.0,0.9999755380886547,6.664501869400821e-05
32.0,0.9999661290648646,6.882148940852385e-05
33.0,0.9999441214456007,7.128727796573941e-05
34.0,0.9999293054361726,7.37538435508515e-05
35.0,0.9999284952781083,7.63402767643266e-05
36.0,0.9999233363958504,7.771387237083758e-05
37.0,0.9999126974097767,7.810431616657576e-05
38.0,0.9998848416701582,7.950185562852777e-05
39.0,0.9998574103030684,8.13483012460498e-05
40.0,0.9998340750076902,8.284785277336881e-05
41.0,0.9998491063213821,8.612638332063216e-05
42.0,0.9998775857335545,8.828599985849817e-05
43.0,0.9998768931142122,8.946546456487646e-05
44.0,0.9998739503893268,9.4351294578656e-05
45.0,0.9998327635239141,0.00010010714138808139
46.0,0.9997765796445969,0.00010186140919052426
47.0,0.9997901974713254,0.00010525380334316611
48.0,0.9998148458039434,0.00011061038434575932
49.0,0.9998032666929489,0.00011722660332449088
50.0,0.9997654865328959,0.00012259248698829302
51.0,0.9997238635958882,0.00012814659913984688
52.0,0.9996813285437971,0.0001403316557226886
53.0,0.9996820730152247,0.00015373600984526856
54.0,0.9997389132797173,0.00016328297680057047
55.0,0.9997604676732401,0.00017807776263321787
56.0,0.9997152126126129,0.00020413401293832334
57.0,0.9996325117654746,0.00024869671656296106
58.0,0.9995660054771763,0.00032128024978960617
59.0,0.99949614776742,0.00048827145782165903
